avg_wait,avg_duration,avg_speed,vehicles,inserted,ended,teleports,sim_time,controller,scenario,seed
73.6667864845435,545.0294751976995,11.028372968406588,8346,8346,8346,0,14399.0,gap_fuzzy,medium,01
75.12609583283296,548.3148793082743,10.959538715325381,8327,8327,8327,0,14399.0,gap_fuzzy,medium,02
73.6356988731719,545.5610165427955,10.995409451903967,8342,8342,8342,0,14399.0,gap_fuzzy,medium,03
73.07942411517696,544.1744451109778,11.02639096155818,8335,8335,8335,0,14398.0,gap_fuzzy,medium,04
73.89690721649484,545.5396787341165,11.010969151310947,8342,8342,8342,0,14398.0,gap_fuzzy,medium,05
72.53843386497182,543.0312987168725,11.04587742732289,8339,8339,8339,0,14395.0,gap_fuzzy,medium,06
73.93165467625899,544.9406474820144,11.000758213154674,8340,8340,8340,0,14399.0,gap_fuzzy,medium,07
74.10105490290098,545.4809398225846,10.990257760443425,8342,8342,8342,0,14398.0,gap_fuzzy,medium,08
72.43540842029508,543.3744752308984,11.028580535543236,8337,8337,8337,0,14399.0,gap_fuzzy,medium,09
73.74047447879224,544.7078840162952,10.992314550232994,8346,8346,8346,0,14399.0,gap_fuzzy,medium,10
61.27349397590361,526.1274698795181,11.207007234347406,4150,4150,4150,0,14399.0,gap_fuzzy,low,01
61.640338164251204,525.9410628019324,11.206853670823568,4140,4140,4140,0,14396.0,gap_fuzzy,low,03
60.24192771084337,523.8421686746988,11.249367070628635,4150,4150,4150,0,14397.0,gap_fuzzy,low,04
60.77349397590361,524.9959036144578,11.224076963009306,4150,4150,4150,0,14394.0,gap_fuzzy,low,05
63.01978764478765,526.5033783783783,11.20763105397048,4144,4144,4144,0,14396.0,gap_fuzzy,low,06
61.37620656370656,526.5057915057915,11.193143613317954,4144,4144,4144,0,14388.0,gap_fuzzy,low,07
62.26763285024155,526.6400966183575,11.185617451190579,4140,4140,4140,0,14396.0,gap_fuzzy,low,08
59.814698795180725,525.1303614457831,11.21177250409604,4150,4150,4150,0,14398.0,gap_fuzzy,low,09
60.81713185755534,524.9090471607315,11.225008011337858,4156,4156,4156,0,14399.0,gap_fuzzy,low,10
61.641996142719385,527.8138862102218,11.168707298895162,4148,4148,4148,0,14397.0,gap_fuzzy,low,02
257.8663888207894,731.9588134346653,8.66696030916108,4079,4079,4079,0,14395.0,static,low,10
255.96348934084784,731.2869394756187,8.68247846837902,4081,4081,4081,0,14399.0,static,low,09
255.1573915175288,729.3564599166463,8.697733457702276,4079,4079,4079,0,14376.0,static,low,08
258.1420176297747,733.4615572967679,8.68234406525984,4084,4084,4084,0,14385.0,static,low,07
255.76956947162427,729.4214774951076,8.697537161533202,4088,4088,4088,0,14389.0,static,low,06
259.6382770435634,734.3296622613803,8.658274079486386,4086,4086,4086,0,14399.0,static,low,05
256.77005870841487,731.037915851272,8.69891288118718,4088,4088,4088,0,14396.0,static,low,04
256.89406571848946,731.4127023050515,8.690459449519343,4078,4078,4078,0,14392.0,static,low,03
255.53553921568627,731.6450980392157,8.687351121192506,4080,4080,4080,0,14392.0,static,low,02
257.89106487148103,733.0269277845778,8.664820421024078,4085,4085,4085,0,14387.0,static,low,01
269.30283163621147,751.9949783791324,8.628024919833884,7169,7169,7169,0,14398.0,static,medium,08
268.84765625,753.3653738839286,8.620928205360068,7168,7168,7168,0,14389.0,static,medium,02
267.4949242108191,750.4853288833264,8.655612649313444,7191,7191,7191,0,14399.0,static,medium,05
267.3019156024431,749.6750416435314,8.665737077456733,7204,7204,7204,0,14397.0,static,medium,06
268.8425668151448,751.9173162583519,8.65412047332578,7184,7184,7184,0,14394.0,static,medium,10
269.0868534783215,751.453924438868,8.654441847513752,7173,7173,7173,0,14398.0,static,medium,04
269.27950223713646,751.5062919463087,8.64369539360617,7152,7152,7152,0,14398.0,static,medium,09
267.9972195189768,750.5166133741137,8.644520572770608,7193,7193,7193,0,14399.0,static,medium,07
267.872159486965,751.0344346856267,8.643731139896564,7173,7173,7173,0,14397.0,static,medium,03
273.7211387900356,756.9544483985765,8.610928111335495,7025,7025,7025,0,14396.0,static,medium,01
87.8078412391094,559.2875121006776,10.560585654947575,4132,4132,4132,0,14393.0,actuated,low,01
88.31301402999516,560.8592162554427,10.505447063459187,4134,4134,4134,0,14395.0,actuated,low,02
88.53146176185867,559.566311713456,10.54091667093643,4132,4132,4132,0,14393.0,actuated,low,03
89.04784920251329,559.0884485258579,10.543100690901348,4138,4138,4138,0,14395.0,actuated,low,04
88.07446808510639,558.4506769825919,10.552521395283797,4136,4136,4136,0,14396.0,actuated,low,05
88.48477525374577,558.7365877235379,10.56211406192339,4138,4138,4138,0,14397.0,actuated,low,06
88.24848778127269,559.3254294701186,10.541275406039691,4133,4133,4133,0,14398.0,actuated,low,07
88.69617803580067,559.4378326076439,10.542572167596555,4134,4134,4134,0,14398.0,actuated,low,08
87.16529724504592,558.9105848235863,10.561458025974158,4138,4138,4138,0,14398.0,actuated,low,09
88.50157194679565,559.4026602176542,10.516592985899578,4135,4135,4135,0,14394.0,actuated,low,10
91.4221021021021,567.9875075075075,10.509175718628567,8325,8325,8325,0,14397.0,actuated,medium,03
92.0631983659738,567.3817133245224,10.52990232079493,8323,8323,8323,0,14399.0,actuated,medium,06
91.7872340425532,567.5999519172977,10.52159676401658,8319,8319,8319,0,14399.0,actuated,medium,09
90.10285095633346,566.2881029712498,10.558842878411125,8313,8313,8313,0,14399.0,actuated,medium,01
90.91257355590248,567.2573555902486,10.520038400443461,8327,8327,8327,0,14399.0,actuated,medium,10
